Comment,Designator,Footprint,LCSC
MCP6022-I_SN,U4,SOIC127P599X175-8N,
R,R3,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
C,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1000,R1,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
TL3342F160QG,S4,SW_TL3342F160QG,
Polyfuse,F1,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
LED,D12,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
LED,D1,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
AO3400A,Q1,SOT-23,
C,C3,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
LED,D4,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
1.5,R11,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
C_Polarized,C1,C_Radial_D6.3mm_H11.0mm_P2.50mm,
Conn_01x06_Pin,J3,PinHeader_1x06_P2.54mm_Vertical,
SPARKFUN_PRO_MICRO,B1,SPARKFUN_PRO_MICRO,
LED,D2,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
TL3342F160QG,S2,SW_TL3342F160QG,
AO3400A,Q2,SOT-23,
Conn_01x06_Pin,J1,PinHeader_1x06_P2.54mm_Vertical,
1.5,R13,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
TL3342F160QG,S1,SW_TL3342F160QG,
Conn_01x06_Pin,J2,PinHeader_1x06_P2.54mm_Vertical,
LED,D14,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
LED,D11,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
1.5,R10,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
C_Polarized,C2,C_Radial_D6.3mm_H11.0mm_P2.50mm,
1.5,R12,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,
LED,D13,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
LED,D3,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,
1000,R4,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
R,R2,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,
TL3342F160QG,S3,SW_TL3342F160QG,
OPT101P,U2,DIP762W46P254L952H419Q8,
VBPW34S,D9,XDCR_VBPW34S,
VBPW34S,D10,XDCR_VBPW34S,
OPT101P,U1,DIP762W46P254L952H419Q8,
