Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,C_Polarized,C_Radial_D6.3mm_H11.0mm_P2.50mm,124.75,-78.5,0.0,top
C3,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.5,-102.3625,90.0,top
C4,C,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,99.5,-100.8625,-90.0,top
D1,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,94.0,-95.5125,90.0,top
D2,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,98.5,-95.5125,90.0,top
D3,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,103.0,-95.5125,90.0,top
D4,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,107.5,-95.5125,90.0,top
D9,VBPW34S,XDCR_VBPW34S,112.075,-105.97,180.0,bottom
D10,VBPW34S,XDCR_VBPW34S,97.0,-105.97,0.0,bottom
D11,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,94.13,-119.4875,90.0,top
D12,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,99.0,-119.4875,90.0,top
D13,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,104.0,-119.4875,90.0,top
D14,LED,LED_1210_3225Metric_Pad1.42x2.65mm_HandSolder,109.0,-119.4875,90.0,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,96.975,-70.0,0.0,top
J1,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,107.35,-81.5,90.0,top
J2,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,107.35,-88.0,90.0,top
J3,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,107.35,-112.5,90.0,top
Q1,AO3400A,SOT-23,111.9125,-95.4375,-90.0,top
Q2,AO3400A,SOT-23,114.05,-120.4375,-90.0,top
R1,1000,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.9125,-92.5,180.0,top
R2,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,111.5,-102.4125,-90.0,top
R3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,97.5,-100.9125,90.0,top
R4,1000,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,114.0875,-117.5,180.0,top
R10,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,116.74,-72.795,-90.0,top
R11,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,111.66,-72.795,-90.0,top
R12,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,106.58,-72.795,-90.0,top
R13,1.5,R_2512_6332Metric_Pad1.40x3.35mm_HandSolder,101.5,-72.795,-90.0,top
S1,TL3342F160QG,SW_TL3342F160QG,99.35,-43.1,0.0,top
S2,TL3342F160QG,SW_TL3342F160QG,99.35,-50.246,0.0,top
S3,TL3342F160QG,SW_TL3342F160QG,99.35,-57.273,0.0,top
S4,TL3342F160QG,SW_TL3342F160QG,99.35,-64.3,0.0,top
U4,MCP6022-I_SN,SOIC127P599X175-8N,104.5,-102.0,0.0,top
